run_month,run_date,engine,prompt_id,lang,track,cluster,prompt,brand_mentioned,reylong_link_cited,cited_url_count,cited_urls,brand_correct,model_correct,specs_correct,hp_l_hallucinated,evidence_path,notes
2026-08-baseline,,chatgpt,12180b,en,verify,brand_trust,does rey long have CE certification for its machines,,,,,,,,,,
2026-08-baseline,,perplexity,12180b,en,verify,brand_trust,does rey long have CE certification for its machines,,,,,,,,,,
2026-08-baseline,,gemini,12180b,en,verify,brand_trust,does rey long have CE certification for its machines,,,,,,,,,,
2026-08-baseline,,ai_overview,12180b,en,verify,brand_trust,does rey long have CE certification for its machines,,,,,,,,,,
2026-08-baseline,,chatgpt,1012b0,en,verify,woven_bag_conversion,what is the best machine for pp woven bag printing cutting and sewing,,,,,,,,,,
2026-08-baseline,,perplexity,1012b0,en,verify,woven_bag_conversion,what is the best machine for pp woven bag printing cutting and sewing,,,,,,,,,,
2026-08-baseline,,gemini,1012b0,en,verify,woven_bag_conversion,what is the best machine for pp woven bag printing cutting and sewing,,,,,,,,,,
2026-08-baseline,,ai_overview,1012b0,en,verify,woven_bag_conversion,what is the best machine for pp woven bag printing cutting and sewing,,,,,,,,,,
2026-08-baseline,,chatgpt,4383dc,en,gap,woven_bag_economics,how much does a complete pp woven bag production line cost,,,,,,,,,,
2026-08-baseline,,perplexity,4383dc,en,gap,woven_bag_economics,how much does a complete pp woven bag production line cost,,,,,,,,,,
2026-08-baseline,,gemini,4383dc,en,gap,woven_bag_economics,how much does a complete pp woven bag production line cost,,,,,,,,,,
2026-08-baseline,,ai_overview,4383dc,en,gap,woven_bag_economics,how much does a complete pp woven bag production line cost,,,,,,,,,,
2026-08-baseline,,chatgpt,4cfd3f,en,gap,sourcing_decision,should I buy packaging machinery from taiwan or china,,,,,,,,,,
2026-08-baseline,,perplexity,4cfd3f,en,gap,sourcing_decision,should I buy packaging machinery from taiwan or china,,,,,,,,,,
2026-08-baseline,,gemini,4cfd3f,en,gap,sourcing_decision,should I buy packaging machinery from taiwan or china,,,,,,,,,,
2026-08-baseline,,ai_overview,4cfd3f,en,gap,sourcing_decision,should I buy packaging machinery from taiwan or china,,,,,,,,,,
2026-08-baseline,,chatgpt,7bce5a,es,verify,woven_bag_conversion_es,cuál es la mejor máquina para imprimir cortar y coser sacos de polipropileno,,,,,,,,,,
2026-08-baseline,,perplexity,7bce5a,es,verify,woven_bag_conversion_es,cuál es la mejor máquina para imprimir cortar y coser sacos de polipropileno,,,,,,,,,,
2026-08-baseline,,gemini,7bce5a,es,verify,woven_bag_conversion_es,cuál es la mejor máquina para imprimir cortar y coser sacos de polipropileno,,,,,,,,,,
2026-08-baseline,,ai_overview,7bce5a,es,verify,woven_bag_conversion_es,cuál es la mejor máquina para imprimir cortar y coser sacos de polipropileno,,,,,,,,,,
2026-08-baseline,,chatgpt,fd01c3,es,gap,woven_bag_economics_es,cuánto cuesta una línea completa de sacos de polipropileno tejido,,,,,,,,,,
2026-08-baseline,,perplexity,fd01c3,es,gap,woven_bag_economics_es,cuánto cuesta una línea completa de sacos de polipropileno tejido,,,,,,,,,,
2026-08-baseline,,gemini,fd01c3,es,gap,woven_bag_economics_es,cuánto cuesta una línea completa de sacos de polipropileno tejido,,,,,,,,,,
2026-08-baseline,,ai_overview,fd01c3,es,gap,woven_bag_economics_es,cuánto cuesta una línea completa de sacos de polipropileno tejido,,,,,,,,,,
2026-08-baseline,,chatgpt,7772d9,en,verify,ai_inspection,can AI inspection be retrofitted to an existing woven bag production line,,,,,,,,,,
2026-08-baseline,,perplexity,7772d9,en,verify,ai_inspection,can AI inspection be retrofitted to an existing woven bag production line,,,,,,,,,,
2026-08-baseline,,gemini,7772d9,en,verify,ai_inspection,can AI inspection be retrofitted to an existing woven bag production line,,,,,,,,,,
2026-08-baseline,,ai_overview,7772d9,en,verify,ai_inspection,can AI inspection be retrofitted to an existing woven bag production line,,,,,,,,,,
2026-08-baseline,,chatgpt,0c4af3,en,verify,print_diagnostics,why does print registration drift on pp woven fabric and how do I fix it,,,,,,,,,,
2026-08-baseline,,perplexity,0c4af3,en,verify,print_diagnostics,why does print registration drift on pp woven fabric and how do I fix it,,,,,,,,,,
2026-08-baseline,,gemini,0c4af3,en,verify,print_diagnostics,why does print registration drift on pp woven fabric and how do I fix it,,,,,,,,,,
2026-08-baseline,,ai_overview,0c4af3,en,verify,print_diagnostics,why does print registration drift on pp woven fabric and how do I fix it,,,,,,,,,,
2026-08-baseline,,chatgpt,4ce405,en,verify,conversion_diagnostics,what causes cut length drift on woven bag cutting and sewing lines,,,,,,,,,,
2026-08-baseline,,perplexity,4ce405,en,verify,conversion_diagnostics,what causes cut length drift on woven bag cutting and sewing lines,,,,,,,,,,
2026-08-baseline,,gemini,4ce405,en,verify,conversion_diagnostics,what causes cut length drift on woven bag cutting and sewing lines,,,,,,,,,,
2026-08-baseline,,ai_overview,4ce405,en,verify,conversion_diagnostics,what causes cut length drift on woven bag cutting and sewing lines,,,,,,,,,,
2026-08-baseline,,chatgpt,d538f0,en,verify,heat_seal,how do I diagnose weak heat seal strength on a pouch machine,,,,,,,,,,
2026-08-baseline,,perplexity,d538f0,en,verify,heat_seal,how do I diagnose weak heat seal strength on a pouch machine,,,,,,,,,,
2026-08-baseline,,gemini,d538f0,en,verify,heat_seal,how do I diagnose weak heat seal strength on a pouch machine,,,,,,,,,,
2026-08-baseline,,ai_overview,d538f0,en,verify,heat_seal,how do I diagnose weak heat seal strength on a pouch machine,,,,,,,,,,
2026-08-baseline,,chatgpt,7a97fa,en,gap,surface_treatment,why is ink not adhering to my printed pp woven bags,,,,,,,,,,
2026-08-baseline,,perplexity,7a97fa,en,gap,surface_treatment,why is ink not adhering to my printed pp woven bags,,,,,,,,,,
2026-08-baseline,,gemini,7a97fa,en,gap,surface_treatment,why is ink not adhering to my printed pp woven bags,,,,,,,,,,
2026-08-baseline,,ai_overview,7a97fa,en,gap,surface_treatment,why is ink not adhering to my printed pp woven bags,,,,,,,,,,
2026-08-baseline,,chatgpt,8c4db2,en,gap,conversion_diagnostics,how do I prevent sewing thread breakage on woven bag lines,,,,,,,,,,
2026-08-baseline,,perplexity,8c4db2,en,gap,conversion_diagnostics,how do I prevent sewing thread breakage on woven bag lines,,,,,,,,,,
2026-08-baseline,,gemini,8c4db2,en,gap,conversion_diagnostics,how do I prevent sewing thread breakage on woven bag lines,,,,,,,,,,
2026-08-baseline,,ai_overview,8c4db2,en,gap,conversion_diagnostics,how do I prevent sewing thread breakage on woven bag lines,,,,,,,,,,
2026-08-baseline,,chatgpt,8ed880,en,gap,bag_specification,what GSM should I use for a 50 kg pp woven cement bag,,,,,,,,,,
2026-08-baseline,,perplexity,8ed880,en,gap,bag_specification,what GSM should I use for a 50 kg pp woven cement bag,,,,,,,,,,
2026-08-baseline,,gemini,8ed880,en,gap,bag_specification,what GSM should I use for a 50 kg pp woven cement bag,,,,,,,,,,
2026-08-baseline,,ai_overview,8ed880,en,gap,bag_specification,what GSM should I use for a 50 kg pp woven cement bag,,,,,,,,,,
2026-08-baseline,,chatgpt,8918da,en,gap,line_productivity,how long does size changeover take on a woven sack conversion line,,,,,,,,,,
2026-08-baseline,,perplexity,8918da,en,gap,line_productivity,how long does size changeover take on a woven sack conversion line,,,,,,,,,,
2026-08-baseline,,gemini,8918da,en,gap,line_productivity,how long does size changeover take on a woven sack conversion line,,,,,,,,,,
2026-08-baseline,,ai_overview,8918da,en,gap,line_productivity,how long does size changeover take on a woven sack conversion line,,,,,,,,,,
2026-08-baseline,,chatgpt,189bfa,es,verify,ai_inspection_es,se puede añadir inspección con IA a una línea de sacos existente,,,,,,,,,,
2026-08-baseline,,perplexity,189bfa,es,verify,ai_inspection_es,se puede añadir inspección con IA a una línea de sacos existente,,,,,,,,,,
2026-08-baseline,,gemini,189bfa,es,verify,ai_inspection_es,se puede añadir inspección con IA a una línea de sacos existente,,,,,,,,,,
2026-08-baseline,,ai_overview,189bfa,es,verify,ai_inspection_es,se puede añadir inspección con IA a una línea de sacos existente,,,,,,,,,,
2026-08-baseline,,chatgpt,eb234d,en,gap,surface_treatment,what dyne level does polypropylene need before flexo printing,,,,,,,,,,
2026-08-baseline,,perplexity,eb234d,en,gap,surface_treatment,what dyne level does polypropylene need before flexo printing,,,,,,,,,,
2026-08-baseline,,gemini,eb234d,en,gap,surface_treatment,what dyne level does polypropylene need before flexo printing,,,,,,,,,,
2026-08-baseline,,ai_overview,eb234d,en,gap,surface_treatment,what dyne level does polypropylene need before flexo printing,,,,,,,,,,
2026-08-baseline,,chatgpt,a00900,en,verify,flexo_setup,what anilox LPI and BCM should I select for flexo printing on woven fabric,,,,,,,,,,
